dimension;identifier;name_eng;desc_eng;synonyms_eng;name_swe;desc_swe;synonyms_swe
Tillgångssystem;1;Space systems;functional systems creating space;;Utrymmesskapande system;funktionellt system som skapar utrymme;
Tillgångssystem;1A;Ground system;space system on ground;Ground, courtyard, lawn, road embankment;Mark- och grundsystem;utrymmesskapande system på eller i mark;
Tillgångssystem;1AB;DummyAB;;;DummyAB;;
Tillgångssystem;1ABA;Subgrade;ground system which supports construction entities;bank, terrace;Undergrund;marksystem som utgör underlag för byggnadsverk;bank, terrass
Tillgångssystem;1AC;DummyAC;;;DummyAC;;
Tillgångssystem;1ACA;Foundation;ground system which terminates a construction entity downwards;foundation, slab on the ground, foundation walls;Grundläggning;mark- och grundsystem som avslutar ett byggnadsverk neråt;grund, platta på mark, grundmurar
Tillgångssystem;1AD;DummyAD;;;DummyAD;;
Tillgångssystem;1ADA;Road facility;ground system for ground based traffic;;Väganläggning;marksystem för markburen trafik;
Tillgångssystem;1ADB;Carriageway;traffic facility for driveway and potentially road shoulders, parking lane, and bicycle path;roadway, street;Vägbana;väganläggning för körbana och eventuella vägrenar, uppställningsfält och cykelfält;bussgata, bussväg, entréväg, flerfältsväg, gata, gårdsgata, motorväg, tvåfältsväg
Tillgångssystem;1ADD;Foot and/or bicycle path;traffic facility for pedestarian and/or bicycle traffic;walkway, bike path;Gång- och/eller cykelbana;väganläggning för gång- och/eller cykeltrafik;gångbana, cykelbana
Tillgångssystem;1AE;Superstructure for side area;ground system for traffic separation and safety;;Överbyggnad för sidoområde;marksystem för trafikseparation och säkerhet;
Tillgångssystem;1AF;Ground area;ground system for other primäry activites than traffic;;Överbyggnad för plan;marksystem för annan primär verksamhet än trafik;
Tillgångssystem;1AG;DummyAG;;;DummyAG;;
Tillgångssystem;1AGA;Vegetation area;ground system for vegetation;park space;Vegetationsyta;marksystem för vegetation;naturyta, parkyta, grönyta
Tillgångssystem;1AGB;Planting area;vegetation area for planting;shrubbery;Planteringsyta;vegetationsöverbyggnad för plantering;buskyta
Tillgångssystem;1AGC;Grass area;vegetation area for grass;lawn;Gräsyta;vegetationsöverbyggnad för gräs;
Tillgångssystem;1AH;Water facility;ground system for water management;;Vattenanläggning;marksystem för hantering av vatten;
Tillgångssystem;1AHB;Reservoir;water facility for storage;Delay system, water reservoir;Damm;vattenanläggning för lagring;Fördröjningsanläggning, vattenmagasin, vattenreservoar
Tillgångssystem;1AHC;Waterway;water facility for open guiding;Channel;Vattenväg;vattenanläggning för öppen ledning;Kanal
Tillgångssystem;1AHD;Infiltration;water facility for guiding into ground;;Infiltrationsanläggning;vattenanläggning för ledning in i mark;
Tillgångssystem;1AHE;Water tunnel;water facility for sealed guiding in ground;;Vattentunnel;vattenanläggning för sluten ledning i mark;
Tillgångssystem;1AJ;Railroad facility;ground system for rail based traffic;Track substructure;Spåranläggning;marksystem för spårburen trafik;Banunderbyggnad
Tillgångssystem;1B;Building structure;Space system which forms space;;Byggnadskonstruktion;utrymmesskapande system som formar och avskiljer utrymmen;
Tillgångssystem;1BB;Slab system;Building structure which forms and separates space horizontally;Floor, ground floor roofing;Bjälklagskonstruktion;byggnadskonstruktion för horisontellt bärverk;bjälklag, lastkaj, mellanbjälklag, vindsbjälklag, utskjutande bjälklag, ytterbjälklag
Tillgångssystem;1BBB;Bottom slab system;slab system under the bottom storey in a building;;Bottenbjälklag;bjälklagskonstruktion under det lägsta våningsplanet i en byggnad;
Tillgångssystem;1BBC;Mid slab system;slab system between stories in a building;floor joists;Mellanbjälklag;bjälklagskonstruktion mellan våningsplan i en byggnad;våningsbjälklag
Tillgångssystem;1BBD;Top slab system;slab system above the top storey in a building;Upper floor, top floor;Vindsbjälklag;bjälklagskonstruktion över det högsta våningsplanet i en byggnad;Övrebjälklag, toppbjälklag
Tillgångssystem;1BBE;Balcony slab system;slab system protruding from a building;balcony, exterior corridor, docking station;Utskjutande bjälklag;bjälklagskonstruktion som skjuter ut från byggnad;Balkongbjälklag, Loftgångsbjälklag Svalgångsbjälklag, 
Tillgångssystem;1BC;Wall system;Building structure which separates and/or supports space vertically;Wall, facade, dam wall;Väggkonstruktion;byggnadskonstruktion som vertikal avskiljare och/eller ger stöd;frontmur, skärning, spont, stödmur, bergvägg, kulvertvägg, terrängmur, dammvägg, yttervägg, innervägg
Tillgångssystem;1BCB;Exterior wall system;wall system above ground towards the outside of a construction entity;;Yttervägg;väggkonstruktion över mark mot utsidan av byggnadsverk;
Tillgångssystem;1BCC;Interior wall system;wall system between spaces in a building entity;;Innervägg;väggkonstruktion mellan utrymmen i byggnadsverk;
Tillgångssystem;1BCD;Ground wall system;wall system towards ground;;Vägg mot mark;väggkonstruktion mot mark;
Tillgångssystem;1BCE;Terrain wall system;wall system on ground;;Terrängmur;väggkonstruktion fristående på mark;
Tillgångssystem;1BCF;Water wall system;wall system towards water;;Vattenvägg;väggkonstruktion mot vatten;
Tillgångssystem;1BD;Roof system;Building structure which terminates a construction entity upwards;Roof, roofing;Takkonstruktion;byggnadskonstruktionsom avslutar ett byggnadsverk uppåt;yttertak, skärmtak
Tillgångssystem;1C;Bridge structure;functional system which forms space horizontally across underlying obstacles;;Brokonstruktion;utrymmesskapande system som bildar utrymme över underliggande hinder;
Tillgångssystem;1CB;Fixed bridge structure;bridge structure with fixed deck;;Fast brokonstruktion;brokonstruktion med fast brobana;
Tillgångssystem;1CC;Movable bridge structure;bridge structure with moveable deck;Folding bridge;Öppningsbar brokonstruktion;brokonstruktion med rörlig brobana;
Tillgångssystem;1D;Tunnel structure;functional system which forms space in ground or in water;;Tunnelkonstruktion;utrymmesskapande system som bildar utrymme i mark eller i vatten;
Tillgångssystem;1DB;Rock tunnel structure;tunnel structure with natural rock structure;;Bergtunnelkonstruktion;tunnelkonstruktion med naturligt bärverk i berg;bergrum
Tillgångssystem;1DBB;Tunnel bottom;rock tunnel structure which finish the tunnel downwards;;Tunnelbotten;Bergtunnelkonstruktion som avslutar tunnel neråt;Bergtunnelbotten
Tillgångssystem;1DBC;Tunnel wall;rock tunnel structure which give support vertically;;Tunnelvägg;Bergtunnelkonstruktion som vertikal avskiljare och/eller ger stöd;
Tillgångssystem;1DBD;Tunnel ceiling;rock tunnel structure which finish the tunnel upwards;;Tunneltak;Bergtunnelkonstruktion som avslutar tunnel uppåt;
Tillgångssystem;1DC;Concrete tunnel structure;tunnel structurewith fabricated strukture in ground or water;;Betongtunnelkonstruktion;tunnelkonstruktion med konstuerat bärverk i mark eller vatten;Sänktunnel
Tillgångssystem;1DCB;Tunnel bottom;concrete tunnel structure which finish the tunnel downwards;;Tunnelbotten;Betongtunnelkonstruktion som avslutar tunnel neråt;Betongtunnelbotten
Tillgångssystem;1DCC;Tunnel wall;concrete tunnel structure which give support vertically;;Tunnelvägg;Betongtunnelkonstruktion som vertikal avskiljare och/eller ger stöd;Betongtunnelvägg
Tillgångssystem;1DCD;Tunnel ceiling;concrete tunnel structure which finish the tunnel upwards;;Tunneltak;Betongtunnelkonstruktion som avslutar tunnel uppåt;
Tillgångssystem;2;Installation systems;functional systems providing services ;;Installationssystem;funktionellt system som tillhandahåller tjänster;
Tillgångssystem;2E;Gas and air system;installation system which supplies technical gases or technical air;Equipment for gas and air, gas, air;Gas- och luftsystem;installationssystem som tillför tekniska gaser eller teknisk luft;
Tillgångssystem;2EB;Gas system;gas system;;Gassystem;gassystem;
Tillgångssystem;2EC;Air system;air system;;Luftsystem;luftsystem;
Tillgångssystem;2ECB;Compressed air system;air system for compressed air;;Tryckluftssystem;luftsystem för trycksatt luft;
Tillgångssystem;2ECC;Pure air system;air system for purified air;;Renluftssystem;luftsystem för renad luft;
